view,kind,lag,layer,head,value,count
post_rope,k,8,5,1,0.7301986614863077,6
post_rope,k,8,5,2,0.5720102687676748,6
post_rope,k,8,5,3,0.49806935091813404,6
post_rope,k,8,6,-1,0.7183962861696879,24
post_rope,k,8,6,0,0.5466790596644083,6
post_rope,k,8,6,1,0.771521250406901,6
post_rope,k,8,6,2,0.8964504301548004,6
post_rope,k,8,6,3,0.6589344441890717,6
post_rope,k,8,7,-1,0.7704315582911173,24
post_rope,k,8,7,0,0.730906069278717,6
post_rope,k,8,7,1,0.723158597946167,6
post_rope,k,8,7,2,0.7876750528812408,6
post_rope,k,8,7,3,0.8399864435195923,6
post_rope,k,8,8,-1,0.6384970645109812,24
post_rope,k,8,8,0,0.6663122375806173,6
post_rope,k,8,8,1,0.7550652325153351,6
post_rope,k,8,8,2,0.669509619474411,6
post_rope,k,8,8,3,0.46310115108887356,6
post_rope,k,8,9,-1,0.7444230715433756,24
post_rope,k,8,9,0,0.7460082074006399,6
post_rope,k,8,9,1,0.7391946713129679,6
post_rope,k,8,9,2,0.7520798742771149,6
post_rope,k,8,9,3,0.7404096027215322,6
post_rope,k,8,10,-1,0.7210521002610525,24
post_rope,k,8,10,0,0.7364809115727743,6
post_rope,k,8,10,1,0.708237886428833,6
post_rope,k,8,10,2,0.7276351551214854,6
post_rope,k,8,10,3,0.7118545373280843,6
post_rope,k,8,11,-1,0.6233391463756561,24
post_rope,k,8,11,0,0.6195723911126455,6
post_rope,k,8,11,1,0.5526118278503418,6
post_rope,k,8,11,2,0.6654131213823954,6
post_rope,k,8,11,3,0.6557592749595642,6
post_rope,k,8,12,-1,0.6659602920214335,24
post_rope,k,8,12,0,0.8407371838887533,6
post_rope,k,8,12,1,0.5747667451699575,6
post_rope,k,8,12,2,0.6861699422200521,6
post_rope,k,8,12,3,0.5621672968069712,6
post_rope,k,8,13,-1,0.8002879321575165,24
post_rope,k,8,13,0,0.9469356934229533,6
post_rope,k,8,13,1,0.6366105675697327,6
post_rope,k,8,13,2,0.8266956806182861,6
post_rope,k,8,13,3,0.7909098366896311,6
post_rope,k,8,14,-1,0.5768451988697052,24
post_rope,k,8,14,0,0.46846218903859455,6
post_rope,k,8,14,1,0.6042707959810892,6
post_rope,k,8,14,2,0.639809767405192,6
post_rope,k,8,14,3,0.594838077823321,6
post_rope,k,8,15,-1,0.6209999918937683,24
post_rope,k,8,15,0,0.5312934319178263,6
post_rope,k,8,15,1,0.5769114295641581,6
post_rope,k,8,15,2,0.5052190919717153,6
post_rope,k,8,15,3,0.870576024055481,6
post_rope,k,8,16,-1,0.7044956882794698,24
post_rope,k,8,16,0,0.730602482954661,6
post_rope,k,8,16,1,0.641738623380661,6
post_rope,k,8,16,2,0.6615789035956064,6
post_rope,k,8,16,3,0.7840627431869507,6
post_rope,k,8,17,-1,0.6519204278786978,24
post_rope,k,8,17,0,0.6650838752587637,6
post_rope,k,8,17,1,0.6353102177381516,6
post_rope,k,8,17,2,0.6222112874190012,6
post_rope,k,8,17,3,0.6850762863953909,6
post_rope,k,8,18,-1,0.7539500991503397,24
post_rope,k,8,18,0,0.7099818189938863,6
post_rope,k,8,18,1,0.8109996716181437,6
post_rope,k,8,18,2,0.6899116535981497,6
post_rope,k,8,18,3,0.8049072623252869,6
post_rope,k,8,19,-1,0.7479608853658041,24
post_rope,k,8,19,0,0.9517199695110321,6
post_rope,k,8,19,1,0.6604071458180746,6
post_rope,k,8,19,2,0.6346583167711893,6
post_rope,k,8,19,3,0.7450580298900604,6
post_rope,k,8,20,-1,0.6923000812530518,24
post_rope,k,8,20,0,0.729099820057551,6
post_rope,k,8,20,1,0.6738547881444296,6
post_rope,k,8,20,2,0.6953593095143636,6
post_rope,k,8,20,3,0.6708864768346151,6
post_rope,k,8,21,-1,0.742799292008082,24
post_rope,k,8,21,0,0.7106245458126068,6
post_rope,k,8,21,1,0.8063851296901703,6
post_rope,k,8,21,2,0.7073425153891245,6
post_rope,k,8,21,3,0.7468449274698893,6
post_rope,k,8,22,-1,0.6653212308883667,24
post_rope,k,8,22,0,0.5557248890399933,6
post_rope,k,8,22,1,0.6720804572105408,6
post_rope,k,8,22,2,0.7382388412952423,6
post_rope,k,8,22,3,0.6952407509088516,6
post_rope,k,8,23,-1,0.6921521027882894,24
post_rope,k,8,23,0,0.7445530792077383,6
post_rope,k,8,23,1,0.6158630649248759,6
post_rope,k,8,23,2,0.6364078422387441,6
post_rope,k,8,23,3,0.7717844148476919,6
post_rope,k,8,24,-1,0.7060466011365255,24
post_rope,k,8,24,0,0.6500956018765768,6
post_rope,k,8,24,1,0.7602765957514445,6
post_rope,k,8,24,2,0.7342365980148315,6
post_rope,k,8,24,3,0.6795775592327118,6
post_rope,k,8,25,-1,0.7048123776912689,24
post_rope,k,8,25,0,0.7839350402355194,6
post_rope,k,8,25,1,0.6749717891216278,6
post_rope,k,8,25,2,0.6260387798150381,6
post_rope,k,8,25,3,0.7343038618564606,6
post_rope,k,8,26,-1,0.6553738166888555,24
post_rope,k,8,26,0,0.7196371853351593,6
post_rope,k,8,26,1,0.6051991929610571,6
post_rope,k,8,26,2,0.6941506912310919,6
post_rope,k,8,26,3,0.6025081773598989,6
post_rope,k,8,27,-1,0.7695670823256174,24
post_rope,k,8,27,0,0.7346915105978647,6
post_rope,k,8,27,1,0.9997792740662893,6
post_rope,k,8,27,2,0.6750737130641937,6
post_rope,k,8,27,3,0.668723871310552,6
post_rope,q,1,0,-1,0.8569067776203155,560
post_rope,q,1,0,0,0.7531276389956474,20
post_rope,q,1,0,1,0.8693372428417205,20
post_rope,q,1,0,2,0.7902642160654068,20
post_rope,q,1,0,3,0.696536424010992,20
post_rope,q,1,0,4,0.7992796644568443,20
post_rope,q,1,0,5,0.8613503515720368,20
post_rope,q,1,0,6,0.7234652608633041,20
post_rope,q,1,0,7,0.816778513789177,20
post_rope,q,1,0,8,0.8583854705095291,20
post_rope,q,1,0,9,0.8685047388076782,20
post_rope,q,1,0,10,0.877054949477315,20
post_rope,q,1,0,11,0.8687589079141617,20
post_rope,q,1,0,12,0.862612271308899,20
post_rope,q,1,0,13,0.8297454357147217,20
post_rope,q,1,0,14,0.9559899210929871,20
post_rope,q,1,0,15,0.9589016199111938,20
